zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
“连接过去”,「連接過去」,"""Connection to the Past""",「過去へ繋ぐ」,'과거와 이어지다',« Écho du passé »,„Verbindung zur Vergangenheit“,"""Legame col passato""",“Conexión con el pasado”,"""Conexão com o Passado""",«Связь с прошлым»,"""ความเชื่อ​ม​โยง​สู่​อดีต​""","""Sợi Dây Nối Về Quá Khứ""",“Hubungan dengan Masa Lalu”
“征服者之死”,「征服者之死」,"""Conqueror's Fall""",「征服者の死」,'정복자의 최후',« La chute de la conquérante »,„Fall der Eroberin“,"""La caduta della conquistatrice""",“La caída del conquistador”,"""A Queda da Conquistadora""",Падение завоевательницы,"""ความพ่ายแพ้​ของ​ผู้พิชิต​""","""Sự Sụp Đổ Của Kẻ Chinh Phạt""",“Tumbangnya sang Penakluk”
“征服者的遗恨”,「征服者的遺恨」,"""Conqueror's Grief""",「征服を望みし者の怨嗟」,'정복자의 미련',« Le chagrin de la conquérante »,„Trauer der Eroberin“,"""Il dolore della conquistatrice""",“La aflicción del conquistador”,"""A Dor da Conquistadora""",Печаль завоевательницы,"""ความ​โศกเศร้า​ของ​ผู้พิชิต​""","""Nỗi Hận Kẻ Chinh Phạt""",“Kesedihan Penakluk”
“死寂争鸣”,「死寂爭鳴」,"""Contention of Deathly Silences""",「死の争鳴」,'적막 속의 외침',« Discorde des silences mortels »,„Streitgespräche in tödlicher Stille“,"""Contesa dei silenzi tombali""",“Contienda de silencios mortales”,"""Disputa dos Silêncios Mortais""",Отпор смертельному безмолвию,"""การ​ห้ำหั่น​แห่ง​ความ​เงียบ​มรณะ​""","""Sóng Ngầm Nơi Biển Lặng Tăm Tối""",“Pertikaian Hening Mematikan”
“核心降落”,「核心降落」,"""Core ex Machina""",「核心設置」,'코어 낙하',« Noyau ex Machina »,„Core ex Machina“,"""Nucleus ex machina""",“Núcleo ex Machina”,"""Núcleo ex Machina""",Ядро из машины,"""คอร์​ เอ็กซ์​ มา​คิ​นา​""","""Lõi Cơ Giới""",“Core ex Machina”
“碾碎拳骨”,「碾碎拳骨」,"""Crushed the Bony Fist""",「骨拳粉砕」,'뼈 분쇄 주먹',« Broyer le poing d'os »,„Von der Knochenbrecher-Faust zermalmt“,"""La fine del Pugno spaccaossa""",“Puño esquelético eliminado”,"""Punho Esmagador de Ossos""",Сокрушение Костоломного Кулака,"""บดขยี้​หมัด​กระดูก​""","""Nghiền Nắm Đấm Xương""",“Menghancurkan Tinju Bonekrusher”
“亡者之舞”,「亡者之舞」,"""Danse Macabre""",「死の舞踏」,'망자의 춤',« Danse macabre »,„Totentanz“,"""Ballata macabra""",“Danza macabra”,"""Dança Macabra""",Пляска смерти,"""ระบำ​มรณะ​""","""Vũ Điệu Tử Thần""",“Danse Macabre”
“Delta救星”,「Delta救星」,"""DELTA Savior""",「Deltaを救う者」,'델타의 구세주',« Sauvetage de DELTA »,„DELTA-Retter“,"""Salvezza dei DELTA""",“Salvador DELTA”,"""Salvador DELTA""",Дельта-спасение,"""ผู้พิทักษ์​เดล​ต้า​""","""Người Cứu DELTA""",“Penyelamat DELTA”
“平步险窟”,「平步險窟」,"""Delver of the Grottoes""",「危地悠々」,'위험 돌파',« Exploration des grottes »,„Höhlenforscher“,"""Speleologia""",“Exploración de cuevas”,"""Explorador das Grutas""",Исследование гротов,"""นัก​สำรวจ​ถ้ำ​""","""Nhà Thám Hiểm Động Sâu""",“Penggali Groto”
“溺水”,「溺水」,"""Drowning in Water""",「溺水」,'숨 막히는 물살',« Noyade aquatique »,„Wasser im Überfluss“,"""Affogamento""",“Bajo el agua”,"""Afogando na Água""",Погружение в воду,"""จมดิ่ง​ใต้​ผืนน้ำ​""","""Chìm Trong Nước""",“Tenggelam di Air”
“寓于枯荣”,「寓於枯榮」,"""Dwelling Upon Wilted Glory""",「栄枯の中に在り」,'시들고 피는 순환',« Nostalgie d'une gloire flétrie »,„Sinnieren über vergängliche Pracht“,"""Indugiare sulla gloria sfiorita""",“Habitando la gloria marchita”,"""Vivendo de Glórias Passadas""",Думы о прошедшей славе,"""ถวิลหา​เกียรติยศ​ที่​ร่วงโรย​""","""Ngự Trú Trong Vinh Quang Tàn Lụi""",“Meratapi Kemegahan yang Memudar”
“熵减”,「熵減」,"""Entropic Reduction""",「エントロピー減少」,'엔트로피 감소',« Réduction entropique »,„Entropische Reduktion“,"""Riduzione entropica""",“Reducción entrópica”,"""Redução Entrópica""",Снижение энтропии,"""การ​ลด​เอน​โทร​ปี​""","""Giảm Entropy""",“Pengurangan Entropi”
“生存专家”,「生存專家」,"""Expert Survivor""",「サバイバルエキスパート」,'생존 전문가',« Expertise en survie »,„Überlebensexperte“,"""Specialista della sopravvivenza""",“Especialista en supervivencia”,"""Sobrevivente Especialista""",Эксперт по выживанию,"""ผู้เชี่ยวชาญ​การ​เอาชีวิต​รอด​""","""Bậc Thầy Sinh Tồn""",“Penyintas Ahli”
“奇境探索者”,「奇境探索者」,"""Explorer of the Realm""",「奇景探検家」,'미지의 구역 탐험가',« Exploration du royaume »,„Entdecker des Reichs“,"""Esploratore del regno""",“Explorador del Reino”,"""Explorador do Reino""",Исследование царства,"""นัก​สำรวจ​แห่ง​ดินแดน​""","""Nhà Thám Hiểm Kỳ Giới""",“Penjelajah Buana”
“同行”,「同行」,"""Fellow Travelers""",「一緒に進もう」,'동행',« Compagnons de voyage »,„Reisebegleiter“,"""Compagni di viaggio""",“Compañeros de viaje”,"""Companheiros de Viagem""",«Вместе в путь»,"""เพื่อนร่วมทาง​""","""Lữ Khách Đồng Hành""",“Sesama Pengelana”
“相庆”,「相慶」,"""Festive Companions""",「共に祝おう」,'경축',« Compagnons festifs »,„Festbegleiter“,"""Compagni di festa""",“Compañeros festivos”,"""Parceiros de Festa""",«Веселые товарищи»,"""สหาย​เทศกาล​""","""Bạn Đồng Hành Lễ Hội""",“Rekan Jamuan”
“初至武陵城”,「初至武陵城」,"""First Visit to Wuling""",「初めての武陵城」,'무릉성을 향한 첫 번째 발걸음',« Première visite à Wuling »,„Erster Besuch in Wuling“,"""Prima visita a Wuling""",“Primera visita a Wuling”,"""Primeira Visita a Wuling""",Первый визит в Улин,"""การเยือน​อู่​หลิง​ครั้งแรก​""","""Đến Võ Lăng Lần Đầu""",“Kunjungan Pertama ke Wuling”
“羽兽三抄水·其之二”,「羽獸三抄水·其之二」,"""Fowlbeast Water Prancer Ⅱ""",「パタパタ羽獣・その2」,'재빠르게 세 번 뛰어넘는 파울비스트(2)',« L'Eau altière des aviliaires II »,„Im Wasser tanzende Vogelbestie II“,"""Danza del crestalone acquatico Ⅱ""",“Saltos acuáticos con bestias voladoras II”,"""Prancha d'Água da Ave-fera II""",Водный танец крылатого зверя II,"""วิหค​พเนจร​แห่ง​สายน้ำ​ II""","""Thú Lông Vũ Nhảy Nước II""",“Fowlbeast Penari Air II”
“羽兽三抄水”,「羽獸三抄水」,"""Fowlbeast Water Prancer""",「パタパタ羽獣」,'재빠르게 세 번 뛰어넘는 파울비스트',« L'Eau altière des aviliaires »,„Im Wasser tanzende Vogelbestie“,"""Danza del crestalone acquatico""",“Saltos acuáticos con bestias voladoras”,"""Prancha d'Água da Ave-fera""",Водный танец крылатого зверя,"""วิหค​พเนจร​แห่ง​สายน้ำ​""","""Thú Lông Vũ Nhảy Nước""",“Fowlbeast Penari Air”
“全位显现”,「全位顯現」,"""Fully Revealed""",「全方位顕現」,'전위 현현',« Révélation totale »,„Komplett aufgedeckt“,"""Senza più segreti""",“Completamente revelado”,"""Totalmente Revelado""",Проявление,"""เปิดเผย​หมดสิ้น​""","""Toàn Diện Hiển Lộ""",“Terungkap Sepenuhnya”
“穿风以行”,「穿風以行」,"""Gale Weaver""",「風を裂いて進む者」,'바람을 가르며',« Tisse-tempête »,„Sturmweber“,"""Burrasca domata""",“Tejedor de vendavales”,"""Tecelão de Tempestades""",Ткач урагана,"""ผู้​ถัก​ทอ​พายุ​""","""Chúa Tể Cuồng Phong""",“Perajut Angin”
“轻舟已过”,「輕舟已過」,"""Gently Down the Stream""",「風波を越えて」,'고생 끝에 얻은 평온',« Paisiblement dans le courant »,„Sanft den Strom hinab“,"""Seguendo la corrente""",“Suavemente corriente abajo”,"""Ligeiramente Rio Abaixo""",По течению,"""ล่องลอย​ตาม​สายน้ำ​""","""Thuyền Nhẹ Xuôi Dòng""",“Perlahan Mengikuti Arus”
“王国的圣剑”,「王國的聖劍」,"""Holy Sword of the Kingdom""",「王国の聖剣」,'왕국의 성검',« L'épée sacrée du royaume »,„Heiliges Schwert des Königreichs“,"""Spada sacra del regno""",“Espada sagrada del Reino”,"""Espada Sagrada do Reino""",«Священный меч королевства»,"""ดาบ​ศักดิ​สิทธิ์​แห่ง​อาณาจักร​""","""Kiếm Thánh của Vương Quốc""",“Pedang Suci Kerajaan”
“山中见犼”,「山中見犼」,"""Howlers of the Crag""",「山の獣吼」,'산을 울리는 외침',« Hurleurs du pic »,„Heuler der Klippe“,"""Ulularocce della rupe""",“Aulladores del peñasco”,"""Uivantes do Penhasco""",«Ревуны скал»,"""ผู้​โหยหวน​แห่ง​ผา​หิน​""","""Thú Gầm Vách Đá""",“Peraung Tebing”
“于谷地的密境中”,「於谷地的密境中」,"""In the Cryptics of the Valley""",「谷地踏破」,'협곡의 숨겨진 구역에서',« Vallée cryptique »,„In den Apokryphen des Tals“,"""Fra gli enigmi della Valle""",“En lo Críptico del Valle”,"""Nos Enigmas do Vale""",Тайны Долины,"""ใน​ความลึกลับ​แห่ง​หุบเขา​""","""Bí Ẩn Nơi Thung Lũng""",“Di Dalam Teka-Teki Lembah”
“无机造物”,「無機造物」,"""Inorganic Construct""",「無機的造物」,'무기물',« Construction non organique »,„Anorganisches Konstrukt“,"""Costrutto inorganico""",“Constructo inorgánico”,"""Construção Inorgânica""",Неорганическая постройка,"""โครงสร้าง​อนินทรีย์​""","""Thực Thể Vô Cơ""",“Konstruksi Anorganik”
“截雷”,「截雷」,"""Interceptor of Thunder""",「雷断」,'뇌격 차단',« Intercepter le tonnerre »,„Donnerfänger“,"""Intercettazione del tuono""",“Interrupción del trueno”,"""Interceptador do Trovão""",Громовержец,"""ผู้​ขวาง​อัสนี​""","""Chiến Thần Cản Sấm""",“Penangkap Petir”
“燃尽记忆之灰”,「燃盡記憶之灰」,"""Let Fire Consume the Ashen Past""",「灰となれ、記憶の残骸よ」,'기억을 태운 재',« Que le feu consume le passé cendré »,„Möge Feuer die aschfahle Vergangenheit verzehren“,"""Che il fuoco consumi il passato cinereo""",“Que el fuego consuma las cenizas del pasado”,"""Deixe o Fogo Consumir o Passado Cinzento""",Да поглотит пламя пепел прошлого,"""ให้​เปลวไฟ​เผาผลาญ​อดีต​ที่​มอดไหม้​""","""Để Lửa Thiêu Rụi Quá Khứ Tro Tàn""",“Biarkan Api Membakar Abu Masa Lalu”
“信使的信”,「信使的信」,"""Letter From a Messenger""",「トランスポーターからの手紙」,'전달자의 편지',« Lettre d'une messagère »,„Brief von einer Botin“,"""Lettera da una messaggera""",“Carta de la mensajera”,"""Carta de Uma Mensageira""",Письмо от гонца,"""จดหมาย​จาก​ผู้ส่งสาร​""",Thư Từ Một Liên Lạc Viên,“Surat dari Seorang Kurir”
“离群之狼”,「離群之狼」,"""Lone Wolf""",「離群の狼」,'무리를 떠난 늑대',« Loup solitaire »,„Einsamer Wolf“,"""Lupo solitario""",“Lobo solitario”,"""Lobo Solitário""",Одинокий волк,"""หมาป่า​เดียวดาย​""","""Sói Cô Độc""",“Serigala Penyendiri”
“爱，呐喊和原型机”,「愛，吶喊和原型機」,"""Love, Scream & The Prototype""",「ラブ、スクリーム&試作モデル」,"'러브, 스크림 & 프로토타입'","« Amour, cri et prototype »","„Liebe, Kreischen und der Prototyp“","""Amore, urla e il prototipo""","“Amor, grito y el prototipo”","""Amor, Gritos e o Protótipo""","Любовь, вопли и прототип","""ความรัก​ เสียง​กรีดร้อง​ และ​ต้นแบบ​""","Tình Yêu, Tiếng Thét Và Nguyên Mẫu","“Cinta, Jeritan & Prototipe”"
“造主的盛势”,「造主的盛勢」,"""Maker's Domination""",「造主の覇気」,'창조주의 위세',« Domination du Créateur »,„Herrschaft des Schöpfers“,"""Il dominio del creatore""",“El dominio del Creador”,"""Dominação do Criador""",«Господство Творца»,"""การครอบ​งำ​ของ​ผู้สร้าง​""","""Quyền Uy Đấng Kiến Tạo""",“Dominasi Pencipta”
“兽王降伏”,「獸王降伏」,"""Mega-Beast Subdued""",「獣王の降伏」,'비스트의 왕 제압',« Méga-bête vaincue »,„Mega-Bestie bezwungen“,"""Mega bestia sconfitta""",“Megabestia sometida”,"""Megafera Subjugada""",Укрощение мегазверя,"""ปราบ​อสูร​ยักษ์​สำเร็จ​""","""Khuất Phục Cự Thú""",“Megamonster Ditaklukkan”
“禁止绑票！”,「禁止綁票！」,"""NO MORE KIDNAPPING!""",「誘拐禁止！」,'못 데려간다!',"« ÇA SUFFIT, LES KIDNAPPINGS ! »",„KEINE ENTFÜHRUNGEN MEHR!“,"""BASTA RAPIMENTI!""",“¡NO MÁS SECUESTROS!”,"""CHEGA DE SEQUESTROS!""",НИКАКИХ ПОХИЩЕНИЙ!,"""NO MORE KIDNAPPING!""","""ĐỪNG HÒNG BẮT CÓC NỮA!""",“JANGAN ADA LAGI PENCULIKAN!”
“暗夜战术”,「暗夜戰術」,"""Nocturnal Tactics""",「闇夜の戦術」,'어둠의 전술',« Tactiques nocturnes »,„Nächtliche Taktiken“,"""Strategie notturne""",“Tácticas nocturnas”,"""Táticas Noturnas""",«Ночная тактика»,"""กลยุทธ์​ยาม​รัตติกาล​""","""Chiến Thuật Dạ Hành""",“Taktik Nokturnal”
“掌中大救星”,「掌中大救星」,"""Palm Top Deliverer""",「大きな救いの星」,'내 손안의 구세주',« Remède de poche »,„Handheld-Lieferung“,"""Corriere portatile""",“Minialma guardiana”,"""Entregador Portátil""",Карманная доставка,"""ผู้​กอบกู้​ใน​อุ้งมือ​""","""Cứu Tinh Trong Lòng Tay""",“Pembuat Perangkat Mini”
“协议ε·20.00m”,「協議ε·20.00m」,"""Protocol ε 20.00m""",「協約ε·20.00m」,'프로토콜ε · 20.00m',"« Protocole ε 20,00 m »","Protokoll ε: 20,00 m","""Protocollo ε: 20,00 m""",“Protocolo ε 20.00 m”,"""Protocolo ε 20.00 m""","Протокол ε 20,00 м","""โปร​โต​คอล​ ε 20.00m""","""Giao Thức ε 20.00m""",“Protocol ε 20.00m”
“涤荡浊流”,「滌蕩濁流」,"""Purger of the Turbid""",「濁流浄化」,'탁류 정화',« Purification de la souillure »,„Verbannung des Trüben“,"""Lo sporco non ha scampo""",“Exterminio de lo turbio”,"""Purificador do Turvo""",Очищение мути,"""นัก​กำจัด​เรื่อง​วุ่นวาย​""","""Người Tẩy Uế Đục Ngầu""",“Pemurni Kekeruhan”
“碎片的重聚”·Ⅰ,「碎片的重聚」·I,"""Re-Congregated Fragments"" Ⅰ",「欠片の再集結」Ⅰ,'조각의 재집결' I,« Fragments rassemblés » I,„Wiederversammelte Fragmente“ I,"""Frammenti riassemblati"" I",“Fragmentos reagrupados” Ⅰ,"""Fragmentos Recongregados"" I",Объединение фрагментов I,"""เศษ​เสี้ยว​ที่รวม​ตัว​กัน​ใหม่​"" I","""Mảnh Tái Hợp"" I",“Fragmen Bersatu Kembali” Ⅰ
“碎片的重聚”·Ⅱ,「碎片的重聚」·II,"""Re-Congregated Fragments"" Ⅱ",「欠片の再集結」Ⅱ,'조각의 재집결' II,« Fragments rassemblés II »,„Wiederversammelte Fragmente“ II,"""Frammenti riassemblati"" Ⅱ",“Fragmentos reagrupados” II,"""Fragmentos Recongregados"" II",Объединение фрагментов II,"""เศษ​เสี้ยว​ที่รวม​ตัว​กัน​ใหม่​"" II","""Mảnh Tái Hợp"" II",“Fragmen Bersatu Kembali” ⅠI
“再度燃烧”,「再度燃燒」,"""Re-Ignition""",「再度燃焼」,'재연소',« Remise à feu »,„Rückzündung“,"""Riaccensione""",“Reignición”,"""Reignição""",Повторное воспламенение,"""การ​ปะทุ​ซ้ำ​""","""Tái Kích Hoạt""",“Pengapian Ulang”
“回归的噩兆”,「回歸的噩兆」,"""Returning Signs of Ill Omen""",「氷山の一角」,'돌아온 재앙',« Résurgences de mauvais augure »,„Wiederkehrende böse Vorzeichen“,"""Segni ricorrenti di un cattivo presagio""",“Señales recurrentes de mala suerte”,"""Retorno dos Sinais de Mau Agouro""",Возвращение зловещих знамений,"""ลางร้าย​ของ​การ​หวนคืน​""","""Điềm Xấu Tái Hiện""",“Kembalinya Pertanda Petaka”
“碎片的再会”,「碎片的再會」,"""Reunited Fragments""",「欠片の再会」,'조각과의 재회',« Fragments réunis »,„Wiedervereinte Fragmente“,"""Frammenti ricomposti""",“Fragmentos reunidos”,"""Fragmentos Reunidos""",Воссоединение фрагментов,"""เศษ​เสี้ยว​ที่​กลับมา​รวมกัน​""","""Mảnh Vỡ Tái Hợp""",“Fragmen Terkumpul Kembali”
“关闭裂隙”,「關閉裂隙」,"""Rift Sealing""",「裂け目、封ず」,'균열 봉쇄',« Scellement de faille »,„Riss-Versiegelung“,"""Spaccature sigillate""",“Sellado de grietas”,"""Vedação da Fenda""",Закрытие разлома,"""การ​ผนึก​รอยแยก​""","""Phong Ấn Khe Nứt""",“Menutup Celah”
“灼痛疤痕”,「灼痛疤痕」,"""Searing Scars""",「灼ける傷跡」,'작열의 흉터',« Cicatrices brûlantes »,Brennende Narben,"""Cicatrici roventi""",“Marcas de calcinación”,"""Cicatrizes Ardentes""",Жгучие шрамы,"""แผลเก่า​ปะทุ​""","""Sẹo Bỏng Rát""",“Luka Panas”
“碾碎星辰的残片”,「碾碎星辰的殘片」,"""Shards of the Crushed Star""",「砕かれし星辰の残片」,'부서진 별빛의 파편',« Fragments de l'étoile brisée »,„Splitter des zerbrochenen Sterns“,"""Frammenti della stella distrutta""",“Fragmentos de la estrella aplastada”,"""Fragmentos da Estrela Esmagada""",Осколки разрушенной звезды,"""เศษ​เสี้ยว​แห่ง​ดวงดาว​ที่​ถูก​บดขยี้​""","""Mảnh Tàn Tinh""",“Serpihan Bintang yang Hancur”
“比肩传送”,「比肩傳送」,"""Shoulder to Shoulder Delivery""",「谷地疾走」,'동행 전송',« Livraison main dans la main »,„Lieferheld“,"""Atletica nel sangue""",“Entrega de hombro a hombro”,"""Entrega Ombro a Ombro""",Доставка плечом к плечу,"""การจัดส่ง​เคียงบ่าเคียงไหล่​""","""Chuyển Giao Vai Kề Vai""",“Bahu-membahu Mengantar”
“偃旗息鼓”,「偃旗息鼓」,"""Silencing the Drum""",「停戦」,'전투 중지',« Le silence des tambours »,„Trommeldämpfer“,"""Fermare il battito""",“Silenciando el tambor”,"""Silenciando o Tambor""",И смолкли барабаны,"""สยบ​เสียง​กลอง​""","""Dập Tắt Chiến Cổ""",“Meredam Genderang”
“起点”,「起點」,"""Starting Point""",「起点」,'시작점',« Point de départ »,„Startpunkt“,"""Punto d'origine""",“Punto inicial”,"""Ponto de Partida""",Стартовая точка,"""จุดเริ่มต้น​""","""Điểm Bắt Đầu""",“Titik Awal”
“王国的坚盾”,「王國的堅盾」,"""Strong Shield of the Kingdom""",「王国の盾」,'왕국의 방패',« Puissant bouclier du royaume »,„Starker Schild des Königreichs“,"""Scudo possente del regno""",“Escudo poderoso del Reino”,"""Escudo Forte do Reino""",«Крепкий щит королевства»,"""โล่​สุด​แกร่ง​แห่ง​อาณาจักร​""","""Khiên Kiên Cố của Vương Quốc""",“Perisai Tangguh Kerajaan”
“击股传虫·其之二”,「擊股傳蟲·其之二」,"""Swat the Lanky and Pass the Bug Ⅱ""",「長脚獣配達・その2」,'재빠르고 날렵한 랭키비스트(2)',« Écraser les grêlins et faire passer l'insecte II »,„Schlag die Schlacksbestie und gib den Käfer weiter II“,"""Tocca la bestia, passa l'insetto Ⅱ""",“Golpea a la bestia y pasa el insecto II”,"""Golpeie o Fíbio e Passe o Inseto II""",Передайте жука II,"""ฟาด​เจ้า​แลง​กี้​และ​ส่ง​แมลง​ II""","""Đập Ếch Đuôi Dài, Diệt Trừ Bọ II""","“Tepuk Lanky, Oper Serangganya II”"
“击股传虫”,「擊股傳蟲」,"""Swat the Lanky and Pass the Bug""",「長脚獣配達」,'재빠르고 날렵한 랭키비스트',« Écraser les grêlins et faire passer l'insecte »,„Schlag die Schlacksbestie und gib den Käfer weiter“,"""Tocca la bestia, passa l'insetto""",“Golpea a la bestia y pasa el insecto”,"""Golpeie o Fíbio e Passe o Inseto""",Передайте жука,"""ฟาด​เจ้า​แลง​กี้​และ​ส่ง​แมลง​""","""Đập Ếch Đuôi Dài, Diệt Trừ Bọ""","“Tepuk Lanky, Oper Serangganya”"
“汤汤券”,「湯湯券」,"""Tangtang Cert""",「タンタン券」,'탕탕의 죽패',« Certif de Tangtang »,„Tangtang-Zerti“,"""Certificato di Tangtang""",“Certificado Tangtang”,"""Certificado de Tangtang""",«Сертификат Тантан»,"""ใบรับรอง​ถัง​ถัง​""","""Chứng Nhận Tangtang""",“Sertifikat Tangtang”
“我最后侍奉的王”,「我最後侍奉的王」,"""The Final Lord I Served""",「僕が最後に仕えた王」,'마지막으로 섬긴 왕',« L'ultime seigneur que j'ai servi »,"„Der letzte Herrscher, dem ich diente“","""L'ultimo signore che ho servito""",“El último señor al que serví”,"""O Derradeiro Senhor que Servi""",Последний из моих владык,"""นาย​คน​สุดท้าย​ของ​ข้า​""","""Vị Quân Chủ Cuối Cùng""",“Dewa Terakhir yang Kusembah”
